---------------------------
|         n |  n log_2(n) |
|       878 |    8585.2 |
|       879 |    8596.4 |
|       880 |    8607.6 |
|       881 |    8618.8 |
|       882 |    8630.0 |
|       883 |    8641.3 |
|       884 |    8652.5 |
|       885 |    8663.7 |
|       886 |    8675.0 |
|       887 |    8686.2 |
|       888 |    8697.4 |
|       889 |    8708.7 |
|       890 |    8719.9 |
|       891 |    8731.2 |
|       892 |    8742.4 |
|       893 |    8753.6 |
|       894 |    8764.9 |
|       895 |    8776.1 |
|       896 |    8787.4 |
|       897 |    8798.6 |
|       898 |    8809.9 |
|       899 |    8821.1 |
|       900 |    8832.4 |
|       901 |    8843.7 |
|       902 |    8854.9 |
|       903 |    8866.2 |
|       904 |    8877.4 |
|       905 |    8888.7 |
|       906 |    8900.0 |
|       907 |    8911.2 |
|       908 |    8922.5 |
|       909 |    8933.8 |
|       910 |    8945.0 |
|       911 |    8956.3 |
|       912 |    8967.6 |
|       913 |    8978.9 |
|       914 |    8990.2 |
|       915 |    9001.4 |
|       916 |    9012.7 |
|       917 |    9024.0 |
|       918 |    9035.3 |
|       919 |    9046.6 |
|       920 |    9057.9 |
|       921 |    9069.1 |
|       922 |    9080.4 |
|       923 |    9091.7 |
|       924 |    9103.0 |
|       925 |    9114.3 |
|       926 |    9125.6 |
|       927 |    9136.9 |
|       928 |    9148.2 |
|       929 |    9159.5 |
|       930 |    9170.8 |
|       931 |    9182.1 |
|       932 |    9193.4 |
|       933 |    9204.7 |
|       934 |    9216.0 |
|       935 |    9227.3 |
|       936 |    9238.7 |
|       937 |    9250.0 |
|       938 |    9261.3 |
|       939 |    9272.6 |
|       940 |    9283.9 |
|       941 |    9295.2 |
|       942 |    9306.6 |
|       943 |    9317.9 |
|       944 |    9329.2 |
|       945 |    9340.5 |
|       946 |    9351.9 |
|       947 |    9363.2 |
|       948 |    9374.5 |
|       949 |    9385.9 |
|       950 |    9397.2 |
|       951 |    9408.5 |
|       952 |    9419.9 |
|       953 |    9431.2 |
|       954 |    9442.5 |
|       955 |    9453.9 |
|       956 |    9465.2 |
|       957 |    9476.6 |
|       958 |    9487.9 |
|       959 |    9499.3 |
|       960 |    9510.6 |
|       961 |    9522.0 |
|       962 |    9533.3 |
|       963 |    9544.7 |
|       964 |    9556.0 |
|       965 |    9567.4 |
|       966 |    9578.7 |
|       967 |    9590.1 |
|       968 |    9601.5 |
|       969 |    9612.8 |
|       970 |    9624.2 |
|       971 |    9635.6 |
|       972 |    9646.9 |
|       973 |    9658.3 |
|       974 |    9669.7 |
|       975 |    9681.0 |
|       976 |    9692.4 |
|       977 |    9703.8 |
|       978 |    9715.1 |
|       979 |    9726.5 |
|       980 |    9737.9 |
|       981 |    9749.3 |
|       982 |    9760.7 |
|       983 |    9772.0 |
|       984 |    9783.4 |
|       985 |    9794.8 |
|       986 |    9806.2 |
|       987 |    9817.6 |
|       988 |    9829.0 |
|       989 |    9840.4 |
|       990 |    9851.8 |
|       991 |    9863.2 |
|       992 |    9874.6 |
|       993 |    9886.0 |
|       994 |    9897.4 |
|       995 |    9908.8 |
|       996 |    9920.2 |
|       997 |    9931.6 |
|       998 |    9943.0 |
|       999 |    9954.4 |
|      1000 |    9965.8 |
|      1001 |    9977.2 |
|      1002 |    9988.6 |
|      1003 |   10000.0 |
|      1004 |   10011.4 |
|      1005 |   10022.8 |
|      1006 |   10034.3 |
|      1007 |   10045.7 |
|      1008 |   10057.1 |
|      1009 |   10068.5 |
|      1010 |   10079.9 |
|      1011 |   10091.4 |
|      1012 |   10102.8 |
|      1013 |   10114.2 |
|      1014 |   10125.6 |
|      1015 |   10137.1 |
|      1016 |   10148.5 |
|      1017 |   10159.9 |
|      1018 |   10171.4 |
|      1019 |   10182.8 |
|      1020 |   10194.2 |
|      1021 |   10205.7 |
|      1022 |   10217.1 |
|      1023 |   10228.6 |
|      1024 |   10240.0 |
|      1025 |   10251.4 |
|      1026 |   10262.9 |
|      1027 |   10274.3 |
|      1028 |   10285.8 |
|      1029 |   10297.2 |
|      1030 |   10308.7 |
|      1031 |   10320.1 |
|      1032 |   10331.6 |
|      1033 |   10343.0 |
|      1034 |   10354.5 |
|      1035 |   10366.0 |
|      1036 |   10377.4 |
|      1037 |   10388.9 |
|      1038 |   10400.3 |
|      1039 |   10411.8 |
|      1040 |   10423.3 |
|      1041 |   10434.7 |
|      1042 |   10446.2 |
|      1043 |   10457.7 |
|      1044 |   10469.1 |
|      1045 |   10480.6 |
|      1046 |   10492.1 |
|      1047 |   10503.6 |
|      1048 |   10515.0 |
|      1049 |   10526.5 |
|      1050 |   10538.0 |
|      1051 |   10549.5 |
|      1052 |   10560.9 |
|      1053 |   10572.4 |
|      1054 |   10583.9 |
|      1055 |   10595.4 |
|      1056 |   10606.9 |
|      1057 |   10618.4 |
|      1058 |   10629.9 |
|      1059 |   10641.3 |
|      1060 |   10652.8 |
|      1061 |   10664.3 |
|      1062 |   10675.8 |
|      1063 |   10687.3 |
|      1064 |   10698.8 |
|      1065 |   10710.3 |
|      1066 |   10721.8 |
|      1067 |   10733.3 |
|      1068 |   10744.8 |
|      1069 |   10756.3 |
|      1070 |   10767.8 |
|      1071 |   10779.3 |
|      1072 |   10790.8 |
